AncMed; 66; games played before game Medite Mabite; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Won&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=AncMed&excusedTurns=All&anonymity=yes&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNon=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Persia; 2.94696969697; 0.19696969697; 7.06060606061; 6.89393939394
; Rome; 2.88636363636; 0.272727272727; 7.66666666667; 6.60606060606
; Carthage; 2.7803030303; 0.287878787879; 8.60606060606; 7.93939393939
; Egypt; 3.12878787879; 0.136363636364; 5.92424242424; 5.84848484848
; Greece; 3.25757575758; 0.106060606061; 4.40909090909; 4.69696969697
