Caucasia; 13; games played before game Once you go Caucasian; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Finished&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=Caucasia&excusedTurns=All&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Georgia; 3.84615384615; 0.; 1.46153846154; 1.30769230769
; Russia; 3.42307692308; 0.0769230769231; 2.84615384615; 2.76923076923
; Azerbaijan; 4.03846153846; 0.0769230769231; 1.69230769231; 1.46153846154
; Armenia; 1.96153846154; 0.307692307692; 8.15384615385; 7.69230769231
; Chechnya; 1.73076923077; 0.538461538462; 7.76923076923; 7.30769230769
