BalkanWarsVI; 16; games played; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Finished&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=BalkanWarsVI&excusedTurns=All&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNon=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Turkey; 4.3125; 0.03125; 1.8125; 2.
; Serbia; 4.21875; 0.0625; 2.; 2.5625
; Albania; 4.28125; 0.1875; 2.8125; 2.625
; Greece; 2.03125; 0.5625; 9.625; 8.125
; Rumania; 2.71875; 0.125; 6.75; 6.
; Bulgaria; 3.4375; 0.03125; 3.; 3.625
