AgeOfPericles; 25; games played before game Verge Of Peniclès; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Finished&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=AgeOfPericles&excusedTurns=All&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNon=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Laconia; 4.06; 0.12; 5.76; 5.56
; Elia; 4.6; 0.06; 3.96; 3.68
; Boeotia; 4.2; 0.16; 5.96; 5.68
; Aetolia; 3.44; 0.28; 7.6; 7.16
; Messenia; 3.86; 0.16; 5.44; 5.32
; Arcolia; 4.28; 0.12; 4.44; 4.48
; Attica; 3.56; 0.1; 4.72; 4.84
