AtlanticColonies; 53; games played before game Le Colonialisme est un Lombalisme; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Won&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=AtlanticColonies&excusedTurns=All&anonymity=yes&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNon=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; France; 3.09433962264; 0.0943396226415; 6.98113207547; 7.67924528302
; Portugal; 2.05660377358; 0.452830188679; 15.9433962264; 14.2264150943
; England; 2.17924528302; 0.320754716981; 15.641509434; 14.6603773585
; Spain; 2.66981132075; 0.132075471698; 9.94339622642; 10.2264150943
