GreekDip; 32; games played before game Ειμοδοs; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Won&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=GreekDip&excusedTurns=All&anonymity=yes&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNon=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Sparta; 3.625; 0.125; 4.78125; 4.875
; Byzantinum; 4.140625; 0.0625; 2.75; 2.90625
; Persia; 3.421875; 0.0625; 5.53125; 5.46875
; Macedonia; 3.140625; 0.21875; 7.625; 7.0625
; Rhodes; 2.421875; 0.40625; 10.; 9.
; Athens; 4.25; 0.125; 3.21875; 3.21875
