AncMed; 55; games played; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Won&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=AncMed&excusedTurns=All&anonymity=yes&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNorm=Yes&messageRule=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Persia; 2.65454545455; 0.254545454545; 8.16363636364; 7.72727272727
; Rome; 2.84545454545; 0.290909090909; 7.6; 7.01818181818
; Carthage; 2.68181818182; 0.272727272727; 7.74545454545; 7.03636363636
; Egypt; 3.31818181818; 0.127272727273; 4.8; 4.67272727273
; Greece; 3.5; 0.0545454545455; 3.65454545455; 3.67272727273
