Balkans1860; 18; games played before game Balkanic Tamer; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Finished&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=Balkans1860&excusedTurns=All&anonymity=yes&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNon=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Romania; 4.22222222222; 0.138888888889; 4.16666666667; 4.05555555556
; Serbia; 4.88888888889; 0.0555555555556; 1.77777777778; 1.88888888889
; Italy; 3.16666666667; 0.222222222222; 9.5; 8.77777777778
; Greece; 4.80555555556; 0.0555555555556; 1.72222222222; 1.83333333333
; Austria-Hungary; 4.02777777778; 0.222222222222; 5.22222222222; 5.05555555556
; Ottomans; 3.97222222222; 0.0277777777778; 5.; 5.05555555556
; Bulgaria; 2.91666666667; 0.277777777778; 9.61111111111; 9.05555555556
