Zeus5; 14; games played before game Zeus est un gros Rémax; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Won&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=Zeus5&excusedTurns=All&anonymity=yes&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNon=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; China; 4.60714285714; 0.0714285714286; 3.21428571429; 3.5
; Germany; 4.28571428571; 0.; 3.21428571429; 3.5
; United States; 3.85714285714; 0.142857142857; 6.92857142857; 6.57142857143
; Italy; 2.82142857143; 0.285714285714; 9.78571428571; 9.64285714286
; Japan; 3.64285714286; 0.214285714286; 8.; 7.28571428571
; Soviet Union; 4.03571428571; 0.214285714286; 6.78571428571; 5.57142857143
; United Kingdom; 4.75; 0.0714285714286; 3.; 2.78571428571
