AncMed; 229; games played; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Won&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=AncMed&excusedTurns=All&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNorm=Yes&messageRule=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Persia; 2.52620087336; 0.292576419214; 8.6288209607; 7.77292576419
; Rome; 2.95633187773; 0.222707423581; 6.63318777293; 6.29694323144
; Carthage; 2.65502183406; 0.275109170306; 8.08733624454; 7.24017467249
; Egypt; 3.32751091703; 0.144104803493; 4.87772925764; 4.67248908297
; Greece; 3.53493449782; 0.0742358078603; 3.54148471616; 3.68995633188
