Sengoku5; 19; games played before game Rémi-san; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Won&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=Sengoku5&excusedTurns=All&anonymity=yes&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNon=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Chosokabe; 5.28947368421; 0.; 1.26315789474; 1.63157894737
; Uesugi; 3.36842105263; 0.263157894737; 8.05263157895; 7.15789473684
; Oda; 3.73684210526; 0.368421052632; 9.94736842105; 9.
; Asakura; 5.76315789474; 0.; 0.421052631579; 0.631578947368
; Mori; 5.07894736842; 0.; 1.15789473684; 1.63157894737
; Hojo; 4.71052631579; 0.0526315789474; 2.47368421053; 2.94736842105
; Shimazu; 2.86842105263; 0.210526315789; 9.05263157895; 8.78947368421
; Takeda; 5.18421052632; 0.105263157895; 2.94736842105; 2.89473684211
